Term,Word Count,TF-IDF
depending,1,0.004437962083518692
entirely,4,0.01775184833407477
expertise,1,0.004437962083518692
ask,10,0.04437962083518693
useful,4,0.01775184833407477
harmful,2,0.008875924167037384
emerging,1,0.004437962083518692
wording,1,0.004437962083518692
consult,1,0.004437962083518692
would,3,0.013313886250556078
ban,1,0.004437962083518692
large,4,0.01775184833407477
limitation,1,0.004437962083518692
show,2,0.008875924167037384
limit,1,0.004437962083518692
flow,2,0.008875924167037384
recommended,4,0.01775184833407477
learns,3,0.013313886250556078
wilder,1,0.004437962083518692
direct,1,0.004437962083518692
comfortable,1,0.004437962083518692
reflected,1,0.004437962083518692
prediction,1,0.004437962083518692
opportunity,2,0.008875924167037384
post,1,0.004437962083518692
appropriate,5,0.022189810417593464
problematise,1,0.004437962083518692
author,1,0.004437962083518692
unclear,1,0.004437962083518692
incorrect,1,0.004437962083518692
type,3,0.013313886250556078
assignment,5,0.022189810417593464
necessary,2,0.008875924167037384
impractical,1,0.004437962083518692
easier,1,0.004437962083518692
staff,1,0.004437962083518692
ku,1,0.004437962083518692
interpretation,1,0.004437962083518692
digital,3,0.013313886250556078
available,6,0.026627772501112156
choice,2,0.008875924167037384
assistant,1,0.004437962083518692
daisy,1,0.004437962083518692
avoid,3,0.013313886250556078
absolutely,1,0.004437962083518692
protected,2,0.008875924167037384
good,8,0.03550369666814954
affordances,1,0.004437962083518692
carefully,2,0.008875924167037384
integration,2,0.008875924167037384
skill,3,0.013313886250556078
whole,1,0.004437962083518692
time,3,0.013313886250556078
portfolio,2,0.008875924167037384
early,1,0.004437962083518692
implemented,1,0.004437962083518692
noting,1,0.004437962083518692
called,1,0.004437962083518692
http,1,0.004437962083518692
based,4,0.01775184833407477
menial,1,0.004437962083518692
fulfilled,1,0.004437962083518692
handwritten,1,0.004437962083518692
ok,2,0.008875924167037384
fabrication,1,0.004437962083518692
rely,2,0.008875924167037384
heavily,1,0.004437962083518692
three,1,0.004437962083518692
algorithm,3,0.013313886250556078
specified,1,0.004437962083518692
passing,1,0.004437962083518692
invest,1,0.004437962083518692
trademark,1,0.004437962083518692
featuring,1,0.004437962083518692
questioning,1,0.004437962083518692
generated,6,0.026627772501112156
tool,52,0.230774028342972
adapt,5,0.022189810417593464
aide,3,0.013313886250556078
declarative,3,0.013313886250556078
specific,7,0.03106573458463085
discussion,9,0.03994165875166823
give,4,0.01775184833407477
industry,1,0.004437962083518692
year,1,0.004437962083518692
people,2,0.008875924167037384
message,1,0.004437962083518692
needed,1,0.004437962083518692
addition,2,0.008875924167037384
student,86,0.38166473918260757
search,1,0.004437962083518692
formulating,1,0.004437962083518692
subtle,1,0.004437962083518692
copyright,3,0.013313886250556078
conceivable,1,0.004437962083518692
enhancement,1,0.004437962083518692
energy,1,0.004437962083518692
underway,1,0.004437962083518692
described,3,0.013313886250556078
huang,1,0.004437962083518692
number,1,0.004437962083518692
easily,3,0.013313886250556078
weakness,1,0.004437962083518692
catch,2,0.008875924167037384
suitable,2,0.008875924167037384
approved,1,0.004437962083518692
pedagogically,1,0.004437962083518692
covid,1,0.004437962083518692
fallacy,1,0.004437962083518692
repeat,1,0.004437962083518692
